Campaign,Ad Group,Keyword,Match Type,Max CPC
Man With A Van - Exact Match,Usk - Man With Van,[man and van usk],Exact,
Man With A Van - Exact Match,Royal Leamington Spa - Man With Van,[man and van royal leamington spa],Exact,
Man With A Van - Exact Match,Wilmslow - Man With Van,[man and van wilmslow],Exact,
Man With A Van - Exact Match,Briton Ferry - Man With Van,[man and van briton ferry],Exact,
Man With A Van - Exact Match,Darlington - Man With Van,[man and van darlington],Exact,
Man With A Van - Exact Match,Newton Mearns - Man With Van,[man and van newton mearns],Exact,
Man With A Van - Exact Match,Runcorn - Man With Van,[man and van runcorn],Exact,
Man With A Van - Exact Match,Southsea - Man With Van,[man and van southsea],Exact,
Man With A Van - Exact Match,Whaley Bridge - Man With Van,[man and van whaley bridge],Exact,
Man With A Van - Exact Match,Donate - Man With Van,[man and van donate],Exact,
Man With A Van - Exact Match,Fenton - Man With Van,[man and van fenton],Exact,
Man With A Van - Exact Match,Laugharne - Man With Van,[man and van laugharne],Exact,
Man With A Van - Exact Match,Maidstone - Man With Van,[man and van maidstone],Exact,
Man With A Van - Exact Match,Ringwood - Man With Van,[man and van ringwood],Exact,
Man With A Van - Exact Match,Southall - Man With Van,[man and van southall],Exact,
Man With A Van - Exact Match,Swanley - Man With Van,[man and van swanley],Exact,
Man With A Van - Exact Match,Ware - Man With Van,[man and van ware],Exact,
Man With A Van - Exact Match,Westerham - Man With Van,[man and van westerham],Exact,
Man With A Van - Exact Match,Workington - Man With Van,[man and van workington],Exact,
Man With A Van - Exact Match,Renfrew - Man With Van,[man and van renfrew],Exact,
Man With A Van - Exact Match,Sale - Man With Van,[man and van sale],Exact,
Man With A Van - Exact Match,Scunthorpe - Man With Van,[man and van scunthorpe],Exact,
Man With A Van - Exact Match,Seaford - Man With Van,[man and van seaford],Exact,
Man With A Van - Exact Match,Caernarfon - Man With Van,[man and van caernarfon],Exact,
Man With A Van - Exact Match,Coatbridge - Man With Van,[man and van coatbridge],Exact,
Man With A Van - Exact Match,Grantham - Man With Van,[man and van grantham],Exact,
Man With A Van - Exact Match,Loughor - Man With Van,[man and van loughor],Exact,
Man With A Van - Exact Match,Ossett - Man With Van,[man and van ossett],Exact,
Man With A Van - Exact Match,Spilsby - Man With Van,[man and van spilsby],Exact,
Man With A Van - Exact Match,Torpoint - Man With Van,[man and van torpoint],Exact,
Man With A Van - Exact Match,Uppingham - Man With Van,[man and van uppingham],Exact,
Man With A Van - Exact Match,St David's - Man With Van,[man and van st david's],Exact,
Man With A Van - Exact Match,Crumlin - Man With Van,[man and van crumlin],Exact,
Man With A Van - Exact Match,Eccles - Man With Van,[man and van eccles],Exact,
Man With A Van - Exact Match,Camborne - Man With Van,[man and van camborne],Exact,
Man With A Van - Exact Match,Northampton - Man With Van,[man and van northampton],Exact,
Man With A Van - Exact Match,West Mersea - Man With Van,[man and van west mersea],Exact,
Man With A Van - Exact Match,Poynton-with-Worth - Man With Van,[man and van poynton-with-worth],Exact,
Man With A Van - Exact Match,Swansea - Man With Van,[man and van swansea],Exact,
Man With A Van - Exact Match,Blaenavon - Man With Van,[man and van blaenavon],Exact,
Man With A Van - Exact Match,Bridlington - Man With Van,[man and van bridlington],Exact,
Man With A Van - Exact Match,Cowes - Man With Van,[man and van cowes],Exact,
Man With A Van - Exact Match,East Retford - Man With Van,[man and van east retford],Exact,
Man With A Van - Exact Match,Llandudno - Man With Van,[man and van llandudno],Exact,
Man With A Van - Exact Match,Dunfermline - Man With Van,[man and van dunfermline],Exact,
Man With A Van - Exact Match,Edmonton - Man With Van,[man and van edmonton],Exact,
Man With A Van - Exact Match,Richmond - Man With Van,[man and van richmond],Exact,
Man With A Van - Exact Match,Sevenoaks - Man With Van,[man and van sevenoaks],Exact,
Man With A Van - Exact Match,Shildon - Man With Van,[man and van shildon],Exact,
Man With A Van - Exact Match,Talgarth - Man With Van,[man and van talgarth],Exact,
Man With A Van - Exact Match,Tidworth - Man With Van,[man and van tidworth],Exact,
Man With A Van - Exact Match,South Kirkby and Moorthorpe - Man With Van,[man van south kirkby and moorthorpe],Exact,
Man With A Van - Exact Match,Wishaw - Man With Van,[man and van wishaw],Exact,
